area,Typeoflocation,time,Weather,typeofvehicle,ageofvehicle,natureofaccidents,causeofaccidents,accidentvictimsage,eduofdriver,accordingtoResponsibilitiesofDriver,speed,roadconditions,roadfeature,typeofjunction,typeoftrafficcontrol,OwnerofTypeofVehiclesandTypeofLicence,Gender,area
Dhokali,residential area,3am-6am,fine,3 wheeler,1-2year,overturning,weather condition,15-17years,upto 8th std,did not give right of way to vehicle,<30,Wet road,single lane,round about junction,traffic light signal,regular licence,female,Dhokali
Dhokali,in bazar,6am-9am,light rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,overturning,weather condition,35-44years,upto 8th std,failed to give signal,<30,Kutcha Roads,3 Lanes or more without central Divider Median,manned rail crossing,traffic light signal,others,female,Dhokali
Kopri,near hospital,12am-3am,cloudy,"car/jeep/taxi,buses(4 wheeler)",8-10year,overturning,defect in road condition,35-44years,9-10std,followed too closely,>70,speed breaker,4 Lanes or more with central divider,v junction,uncontolled,learners licence,female,Kopri
Teen Hath Naka,near bus stop,9am-12pm,cloudy,2 wheeler,<1,right turn collision,poor light,<5years,upto 8th std,other improper passsing,50-70,straight road,4 Lanes or more with central divider,junction with >4 arms,flashing signal/blinker,owner of public commercial vehicle,female,Teen Hath Naka
Hiranandani Estate,in bazar,3pm-6pm,heavy rain,other motor vehicles,6-8year,head on collision,defect in condition of motor vehicle,21-24years,9-10std,followed too closely,50-70,rutted/pot holes,single lane,v junction,police controlled,without licence,male,Hiranandani Estate
Talav Pali,near bus stop,9am-12pm,heavy rain,"trucks ,tempos,tracto",8-10year,rear end collision,fault of pedestrian,<5years,9-10std,on wrong side of the road,<30,muddy/oily/slippery,3 Lanes or more without central Divider Median,manned rail crossing,uncontolled,without licence,female,Talav Pali
Talav Pali,narrow bridge or culverts,3am-6am,fine,other motor vehicles,2-4year,collision brush/side swip,weather condition,55-64years,above 10th std,did not give right of way to pedestrian,30-50,muddy/oily/slippery,two lane,manned rail crossing,uncontolled,owner of private vehicle,male,Talav Pali
Talav Pali,near a factory or indu. Area,3am-6am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,overturning,poor light,6-9years,9-10std,other improper passsing,>70,incline road,two lane,staggered jucntion,police controlled,owner of private vehicle,female,Talav Pali
Ghodbander,open area,12am-3am,heavy rain,"trucks ,tempos,tracto",8-10year,skiding,defect in road condition,21-24years,9-10std,other improper passsing,>70,speed breaker,single lane,four arm junction,stop sign,paid driver,female,Ghodbander
Teen Hath Naka,near a religious place,12am-3am,heavy rain,2 wheeler,4-6year,head on collision,fault of driver,15-17years,upto 8th std,did not give right of way to vehicle,>70,rutted/pot holes,3 Lanes or more without central Divider Median,round about junction,stop sign,learners licence,female,Teen Hath Naka
Vasant Vihar,at pedestrian crossing,12pm-3pm,light rain,"trucks ,tempos,tracto",4-6year,overturning,defect in condition of motor vehicle,15-17years,not known,passed on curve,<30,incline road,two lane,four arm junction,police controlled,others,female,Vasant Vihar
Dhokali,near a recreation place/cinema,9am-12pm,fine,"car/jeep/taxi,buses(4 wheeler)",4-6year,collision brush/side swip,poor light,55-64years,not known,on wrong side of the road,>70,straight road,single lane,round about junction,uncontolled,regular licence,female,Dhokali
Teen Hath Naka,at pedestrian crossing,6am-9am,fine,3 wheeler,4-6year,hit and run,poor light,<5years,not known,other improper passsing,50-70,Wet road,single lane,round about junction,traffic light signal,regular licence,male,Teen Hath Naka
Hiranandani Estate,near hospital,12am-3am,cloudy,other motor vehicles,2-4year,rear end collision,neglect of civic bodies,21-24years,above 10th std,passed on hill,30-50,incline road,single lane,t junction,stop sign,owner of public commercial vehicle,male,Hiranandani Estate
Talav Pali,in bazar,9pm-12am,fine,"trucks ,tempos,tracto",2-4year,hit and run,poor light,25-34years,upto 8th std,failed to give signal,30-50,Surfaced Roads,3 Lanes or more without central Divider Median,junction with >4 arms,traffic light signal,owner of public commercial vehicle,male,Talav Pali
Manpada,in bazar,12am-3am,fine,"car/jeep/taxi,buses(4 wheeler)",6-8year,overturning,fault of driver,unknown age,upto 8th std,failed to give signal,30-50,incline road,single lane,round about junction,stop sign,owner of private vehicle,male,Manpada
Eastern Express Highway,at pedestrian crossing,12am-3am,fine,2 wheeler,6-8year,rear end collision,poor light,25-34years,9-10std,cut in sharply after passing,50-70,muddy/oily/slippery,3 Lanes or more without central Divider Median,staggered jucntion,traffic light signal,regular licence,female,Eastern Express Highway
Vartak Nagar,near hospital,3pm-6pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",<1,right turn collision,weather condition,15-17years,upto 8th std,did not give right of way to vehicle,<30,Surfaced Roads,3 Lanes or more without central Divider Median,four arm junction,police controlled,regular licence,male,Vartak Nagar
Kolshet Road,at pedestrian crossing,9am-12pm,heavy rain,"trucks ,tempos,tracto",1-2year,skiding,weather condition,45-54years,above 10th std,on wrong side of the road,>70,speed breaker,two lane,junction with >4 arms,police controlled,without licence,male,Kolshet Road
Kolshet Road,near or inside a village,6am-9am,fine,"car/jeep/taxi,buses(4 wheeler)",>10,collision brush/side swip,neglect of civic bodies,45-54years,upto 8th std,alcohol intake,30-50,Wet road,single lane,junction with >4 arms,flashing signal/blinker,paid driver,male,Kolshet Road
Ghodbander,at pedestrian crossing,6pm-9pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,skiding,weather condition,<5years,above 10th std,alcohol intake,30-50,muddy/oily/slippery,3 Lanes or more without central Divider Median,v junction,police controlled,regular licence,male,Ghodbander
Dhokali,near office complex,6pm-9pm,fine,2 wheeler,>10,overturning,defect in road condition,<5years,not known,failed to give signal,30-50,Kutcha Roads,two lane,round about junction,uncontolled,owner of private vehicle,male,Dhokali
Vasant Vihar,near or inside a village,6pm-9pm,fine,other motor vehicles,4-6year,collision brush/side swip,weather condition,65 and above,upto 8th std,did not give right of way to pedestrian,>70,incline road,two lane,v junction,stop sign,others,male,Vasant Vihar
Vasant Vihar,narrow bridge or culverts,12am-3am,fine,2 wheeler,<1,overturning,fault of pedestrian,15-17years,not known,on wrong side of the road,50-70,speed breaker,two lane,staggered jucntion,police controlled,owner of public commercial vehicle,male,Vasant Vihar
Majiwada,near office complex,12pm-3pm,heavy rain,3 wheeler,2-4year,head on collision,weather condition,25-34years,not known,cut in sharply after passing,30-50,Wet road,two lane,manned rail crossing,traffic light signal,regular licence,male,Majiwada
Teen Hath Naka,near petrol pump,12am-3am,cloudy,"car/jeep/taxi,buses(4 wheeler)",8-10year,head on collision,poor light,21-24years,9-10std,did not give right of way to pedestrian,>70,rutted/pot holes,4 Lanes or more with central divider,manned rail crossing,police controlled,owner of public commercial vehicle,male,Teen Hath Naka
Talav Pali,residential area,9pm-12am,cloudy,"car/jeep/taxi,buses(4 wheeler)",<1,collision brush/side swip,poor light,<5years,9-10std,other improper passsing,<30,muddy/oily/slippery,4 Lanes or more with central divider,four arm junction,flashing signal/blinker,learners licence,female,Talav Pali
Hiranandani Estate,near office complex,6pm-9pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",>10,hit and run,neglect of civic bodies,55-64years,above 10th std,failed to give signal,<30,muddy/oily/slippery,two lane,v junction,traffic light signal,regular licence,male,Hiranandani Estate
Teen Hath Naka,near petrol pump,12am-3am,heavy rain,"trucks ,tempos,tracto",2-4year,skiding,fault of pedestrian,55-64years,upto 8th std,passed on curve,30-50,Wet road,4 Lanes or more with central divider,round about junction,traffic light signal,owner of private vehicle,female,Teen Hath Naka
Manpada,near office complex,3am-6am,cloudy,"car/jeep/taxi,buses(4 wheeler)",>10,right turn collision,defect in road condition,21-24years,above 10th std,excceding lawful speed,30-50,Surfaced Roads,3 Lanes or more without central Divider Median,v junction,traffic light signal,without licence,male,Manpada
Ghodbander,near petrol pump,9am-12pm,heavy rain,other motor vehicles,1-2year,overturning,fault of driver,18-20years,upto 8th std,passed on curve,30-50,rutted/pot holes,4 Lanes or more with central divider,manned rail crossing,stop sign,regular licence,female,Ghodbander
Vartak Nagar,near office complex,12pm-3pm,light rain,2 wheeler,8-10year,overturning,fault of pedestrian,65 and above,9-10std,other improper passsing,30-50,speed breaker,single lane,t junction,uncontolled,without licence,male,Vartak Nagar
Kolshet Road,near a religious place,3am-6am,light rain,3 wheeler,2-4year,collision brush/side swip,defect in road condition,6-9years,not known,did not give right of way to pedestrian,30-50,straight road,4 Lanes or more with central divider,four arm junction,traffic light signal,owner of private vehicle,male,Kolshet Road
Vartak Nagar,residential area,3pm-6pm,light rain,3 wheeler,8-10year,rear end collision,weather condition,25-34years,9-10std,alcohol intake,30-50,speed breaker,3 Lanes or more without central Divider Median,junction with >4 arms,traffic light signal,regular licence,female,Vartak Nagar
Talav Pali,near or inside a village,6am-9am,fine,"trucks ,tempos,tracto",1-2year,rear end collision,weather condition,15-17years,above 10th std,did not give right of way to vehicle,>70,Wet road,4 Lanes or more with central divider,v junction,flashing signal/blinker,learners licence,male,Talav Pali
Hiranandani Estate,near petrol pump,3pm-6pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",6-8year,right turn collision,weather condition,10-14years,not known,passed on hill,50-70,Kutcha Roads,single lane,round about junction,police controlled,owner of public commercial vehicle,male,Hiranandani Estate
Majiwada,near a recreation place/cinema,12am-3am,cloudy,2 wheeler,4-6year,hit and run,defect in condition of motor vehicle,18-20years,not known,alcohol intake,30-50,rutted/pot holes,4 Lanes or more with central divider,manned rail crossing,flashing signal/blinker,others,female,Majiwada
Teen Hath Naka,near or inside a village,9pm-12am,fine,other motor vehicles,8-10year,collision brush/side swip,weather condition,unknown age,upto 8th std,followed too closely,>70,Wet road,4 Lanes or more with central divider,v junction,traffic light signal,learners licence,female,Teen Hath Naka
Manpada,near bus stop,12pm-3pm,light rain,"car/jeep/taxi,buses(4 wheeler)",>10,rear end collision,poor light,18-20years,above 10th std,give improper signal,50-70,muddy/oily/slippery,single lane,manned rail crossing,uncontolled,learners licence,male,Manpada
Kapurbawdi,near office complex,9am-12pm,fine,3 wheeler,<1,rear end collision,fault of driver,45-54years,9-10std,cut in sharply after passing,<30,road under construction/repair,single lane,t junction,stop sign,owner of public commercial vehicle,male,Kapurbawdi
Vasant Vihar,near bus stop,12am-3am,heavy rain,3 wheeler,2-4year,rear end collision,defect in condition of motor vehicle,15-17years,9-10std,excceding lawful speed,>70,Surfaced Roads,4 Lanes or more with central divider,staggered jucntion,uncontolled,paid driver,male,Vasant Vihar
Talav Pali,near office complex,9am-12pm,cloudy,3 wheeler,2-4year,collision brush/side swip,poor light,35-44years,9-10std,cut in sharply after passing,<30,road under construction/repair,two lane,unmanned rail crossing,police controlled,paid driver,male,Talav Pali
Ghodbander,near school/college,9pm-12am,cloudy,"trucks ,tempos,tracto",>10,overturning,fault of driver,55-64years,above 10th std,alcohol intake,<30,straight road,single lane,round about junction,police controlled,learners licence,male,Ghodbander
Manpada,at pedestrian crossing,3pm-6pm,heavy rain,2 wheeler,4-6year,right turn collision,defect in condition of motor vehicle,6-9years,upto 8th std,alcohol intake,>70,speed breaker,single lane,four arm junction,traffic light signal,without licence,female,Manpada
Dhokali,near or inside a village,6am-9am,light rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,rear end collision,defect in road condition,18-20years,9-10std,cut in sharply after passing,<30,rutted/pot holes,3 Lanes or more without central Divider Median,staggered jucntion,police controlled,learners licence,male,Dhokali
Vartak Nagar,near a factory or indu. Area,9pm-12am,heavy rain,other motor vehicles,4-6year,overturning,defect in condition of motor vehicle,15-17years,9-10std,other improper passsing,50-70,rutted/pot holes,4 Lanes or more with central divider,v junction,police controlled,regular licence,female,Vartak Nagar
Vasant Vihar,near petrol pump,12pm-3pm,cloudy,other motor vehicles,1-2year,collision brush/side swip,fault of pedestrian,<5years,9-10std,excceding lawful speed,<30,straight road,two lane,t junction,traffic light signal,owner of private vehicle,female,Vasant Vihar
Panchpakhadi,near a religious place,6am-9am,fine,3 wheeler,>10,head on collision,weather condition,65 and above,9-10std,on wrong side of the road,30-50,straight road,4 Lanes or more with central divider,staggered jucntion,uncontolled,learners licence,male,Panchpakhadi
Kolshet Road,in bazar,9pm-12am,cloudy,3 wheeler,1-2year,hit and run,poor light,18-20years,upto 8th std,excceding lawful speed,>70,Wet road,4 Lanes or more with central divider,staggered jucntion,flashing signal/blinker,others,male,Kolshet Road
Majiwada,near office complex,3am-6am,heavy rain,"trucks ,tempos,tracto",1-2year,right turn collision,fault of pedestrian,21-24years,upto 8th std,did not give right of way to pedestrian,50-70,rutted/pot holes,4 Lanes or more with central divider,round about junction,traffic light signal,others,male,Majiwada
Kolshet Road,near office complex,12am-3am,light rain,2 wheeler,2-4year,overturning,defect in road condition,6-9years,9-10std,passed on hill,>70,speed breaker,3 Lanes or more without central Divider Median,round about junction,flashing signal/blinker,owner of public commercial vehicle,male,Kolshet Road
Talav Pali,near a factory or indu. Area,12am-3am,fine,"trucks ,tempos,tracto",4-6year,skiding,defect in road condition,18-20years,upto 8th std,alcohol intake,50-70,straight road,two lane,manned rail crossing,stop sign,learners licence,female,Talav Pali
Ghodbander,residential area,12am-3am,cloudy,"trucks ,tempos,tracto",2-4year,hit and run,weather condition,45-54years,9-10std,followed too closely,<30,incline road,two lane,four arm junction,uncontolled,paid driver,male,Ghodbander
Kapurbawdi,in bazar,9pm-12am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,head on collision,fault of pedestrian,18-20years,9-10std,give improper signal,50-70,Surfaced Roads,two lane,unmanned rail crossing,police controlled,others,female,Kapurbawdi
Kolshet Road,near hospital,3am-6am,fine,other motor vehicles,2-4year,right turn collision,defect in condition of motor vehicle,18-20years,upto 8th std,on wrong side of the road,50-70,muddy/oily/slippery,two lane,round about junction,stop sign,regular licence,female,Kolshet Road
Dhokali,near or inside a village,12pm-3pm,heavy rain,3 wheeler,4-6year,skiding,fault of driver,55-64years,9-10std,did not give right of way to vehicle,50-70,Surfaced Roads,4 Lanes or more with central divider,round about junction,uncontolled,regular licence,female,Dhokali
Majiwada,near bus stop,6pm-9pm,fine,other motor vehicles,4-6year,right turn collision,neglect of civic bodies,65 and above,above 10th std,did not give right of way to pedestrian,50-70,rutted/pot holes,single lane,junction with >4 arms,uncontolled,owner of private vehicle,female,Majiwada
Kolshet Road,near a recreation place/cinema,9am-12pm,fine,2 wheeler,>10,right turn collision,weather condition,6-9years,not known,followed too closely,50-70,muddy/oily/slippery,two lane,round about junction,uncontolled,learners licence,female,Kolshet Road
Dhokali,near office complex,12pm-3pm,light rain,3 wheeler,6-8year,hit and run,defect in condition of motor vehicle,6-9years,upto 8th std,give improper signal,30-50,muddy/oily/slippery,single lane,manned rail crossing,police controlled,paid driver,female,Dhokali
Hiranandani Estate,at pedestrian crossing,12pm-3pm,light rain,"car/jeep/taxi,buses(4 wheeler)",>10,overturning,weather condition,21-24years,upto 8th std,other improper passsing,>70,Surfaced Roads,two lane,t junction,flashing signal/blinker,owner of public commercial vehicle,female,Hiranandani Estate
Manpada,near hospital,6am-9am,light rain,2 wheeler,>10,collision brush/side swip,fault of driver,6-9years,9-10std,excceding lawful speed,<30,rutted/pot holes,4 Lanes or more with central divider,v junction,flashing signal/blinker,others,female,Manpada
Hiranandani Estate,near hospital,9pm-12am,heavy rain,3 wheeler,6-8year,right turn collision,weather condition,unknown age,above 10th std,give improper signal,<30,incline road,4 Lanes or more with central divider,v junction,police controlled,paid driver,male,Hiranandani Estate
Ghodbander,in bazar,3pm-6pm,light rain,"trucks ,tempos,tracto",2-4year,right turn collision,defect in road condition,unknown age,upto 8th std,excceding lawful speed,30-50,straight road,3 Lanes or more without central Divider Median,t junction,stop sign,without licence,female,Ghodbander
Manpada,near a recreation place/cinema,6pm-9pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,skiding,defect in road condition,unknown age,above 10th std,passed on hill,>70,road under construction/repair,single lane,junction with >4 arms,traffic light signal,owner of public commercial vehicle,male,Manpada
Majiwada,near hospital,6pm-9pm,fine,"car/jeep/taxi,buses(4 wheeler)",2-4year,collision brush/side swip,poor light,55-64years,not known,failed to give signal,30-50,Kutcha Roads,4 Lanes or more with central divider,round about junction,stop sign,paid driver,male,Majiwada
Teen Hath Naka,near a recreation place/cinema,3pm-6pm,fine,"trucks ,tempos,tracto",1-2year,head on collision,defect in road condition,55-64years,above 10th std,cut in sharply after passing,30-50,incline road,4 Lanes or more with central divider,manned rail crossing,flashing signal/blinker,learners licence,male,Teen Hath Naka
Teen Hath Naka,residential area,3pm-6pm,cloudy,other motor vehicles,8-10year,skiding,poor light,65 and above,upto 8th std,excceding lawful speed,50-70,Surfaced Roads,single lane,manned rail crossing,stop sign,learners licence,male,Teen Hath Naka
Ghodbander,near petrol pump,3am-6am,heavy rain,"trucks ,tempos,tracto",>10,rear end collision,fault of driver,<5years,not known,alcohol intake,30-50,straight road,two lane,v junction,uncontolled,owner of private vehicle,male,Ghodbander
Teen Hath Naka,near a recreation place/cinema,9pm-12am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",<1,collision brush/side swip,fault of pedestrian,65 and above,9-10std,passed on curve,<30,rutted/pot holes,two lane,t junction,traffic light signal,owner of private vehicle,female,Teen Hath Naka
Teen Hath Naka,near school/college,12pm-3pm,light rain,3 wheeler,8-10year,skiding,poor light,unknown age,above 10th std,cut in sharply after passing,50-70,Surfaced Roads,3 Lanes or more without central Divider Median,unmanned rail crossing,flashing signal/blinker,without licence,female,Teen Hath Naka
Ghodbander,near a recreation place/cinema,6pm-9pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,rear end collision,weather condition,18-20years,upto 8th std,followed too closely,<30,straight road,single lane,v junction,police controlled,owner of private vehicle,male,Ghodbander
Majiwada,near petrol pump,12am-3am,fine,2 wheeler,8-10year,rear end collision,fault of pedestrian,6-9years,not known,other improper passsing,50-70,Surfaced Roads,3 Lanes or more without central Divider Median,junction with >4 arms,flashing signal/blinker,regular licence,female,Majiwada
Vasant Vihar,near hospital,3pm-6pm,light rain,"car/jeep/taxi,buses(4 wheeler)",6-8year,collision brush/side swip,fault of driver,55-64years,upto 8th std,excceding lawful speed,30-50,Kutcha Roads,4 Lanes or more with central divider,manned rail crossing,flashing signal/blinker,owner of public commercial vehicle,male,Vasant Vihar
Vartak Nagar,near or inside a village,3pm-6pm,heavy rain,"trucks ,tempos,tracto",2-4year,rear end collision,fault of driver,15-17years,not known,did not give right of way to pedestrian,>70,muddy/oily/slippery,single lane,unmanned rail crossing,flashing signal/blinker,owner of private vehicle,female,Vartak Nagar
Dhokali,near a factory or indu. Area,3am-6am,cloudy,3 wheeler,8-10year,overturning,defect in road condition,25-34years,upto 8th std,give improper signal,30-50,Wet road,4 Lanes or more with central divider,round about junction,uncontolled,without licence,female,Dhokali
Dhokali,near a factory or indu. Area,6am-9am,fine,"trucks ,tempos,tracto",6-8year,hit and run,fault of pedestrian,10-14years,upto 8th std,did not give right of way to vehicle,>70,Kutcha Roads,4 Lanes or more with central divider,round about junction,flashing signal/blinker,without licence,male,Dhokali
Hiranandani Estate,near bus stop,12am-3am,cloudy,3 wheeler,2-4year,collision brush/side swip,weather condition,6-9years,upto 8th std,passed on curve,<30,Kutcha Roads,4 Lanes or more with central divider,four arm junction,flashing signal/blinker,regular licence,male,Hiranandani Estate
Majiwada,near a factory or indu. Area,3pm-6pm,fine,2 wheeler,6-8year,overturning,poor light,18-20years,not known,cut in sharply after passing,50-70,Kutcha Roads,4 Lanes or more with central divider,unmanned rail crossing,stop sign,learners licence,male,Majiwada
Eastern Express Highway,near hospital,9am-12pm,light rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,overturning,defect in condition of motor vehicle,21-24years,not known,other improper passsing,<30,straight road,4 Lanes or more with central divider,unmanned rail crossing,traffic light signal,without licence,female,Eastern Express Highway
Kolshet Road,near petrol pump,6am-9am,cloudy,other motor vehicles,>10,head on collision,fault of pedestrian,25-34years,above 10th std,give improper signal,<30,Kutcha Roads,single lane,round about junction,flashing signal/blinker,others,male,Kolshet Road
Eastern Express Highway,narrow bridge or culverts,6pm-9pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",<1,hit and run,fault of driver,65 and above,above 10th std,did not give right of way to pedestrian,>70,speed breaker,3 Lanes or more without central Divider Median,v junction,uncontolled,others,female,Eastern Express Highway
Vasant Vihar,near petrol pump,9pm-12am,heavy rain,3 wheeler,4-6year,overturning,fault of pedestrian,unknown age,not known,excceding lawful speed,30-50,Wet road,4 Lanes or more with central divider,four arm junction,uncontolled,regular licence,female,Vasant Vihar
Ghodbander,near bus stop,3pm-6pm,fine,2 wheeler,<1,overturning,neglect of civic bodies,35-44years,upto 8th std,did not give right of way to pedestrian,<30,straight road,3 Lanes or more without central Divider Median,junction with >4 arms,police controlled,owner of public commercial vehicle,female,Ghodbander
Kopri,at pedestrian crossing,9pm-12am,light rain,2 wheeler,6-8year,head on collision,poor light,25-34years,above 10th std,cut in sharply after passing,<30,Surfaced Roads,4 Lanes or more with central divider,manned rail crossing,police controlled,learners licence,female,Kopri
Eastern Express Highway,at pedestrian crossing,9pm-12am,cloudy,3 wheeler,2-4year,overturning,defect in condition of motor vehicle,65 and above,not known,passed on curve,30-50,Surfaced Roads,4 Lanes or more with central divider,junction with >4 arms,stop sign,learners licence,female,Eastern Express Highway
Vasant Vihar,near petrol pump,9am-12pm,cloudy,3 wheeler,4-6year,right turn collision,fault of driver,21-24years,above 10th std,excceding lawful speed,>70,speed breaker,4 Lanes or more with central divider,round about junction,flashing signal/blinker,owner of public commercial vehicle,female,Vasant Vihar
Ghodbander,near a recreation place/cinema,9am-12pm,heavy rain,2 wheeler,4-6year,overturning,fault of driver,21-24years,above 10th std,did not give right of way to vehicle,>70,rutted/pot holes,single lane,junction with >4 arms,stop sign,regular licence,male,Ghodbander
Teen Hath Naka,residential area,12pm-3pm,fine,3 wheeler,1-2year,overturning,neglect of civic bodies,10-14years,upto 8th std,alcohol intake,>70,Surfaced Roads,single lane,junction with >4 arms,stop sign,regular licence,male,Teen Hath Naka
Teen Hath Naka,near a factory or indu. Area,3am-6am,light rain,other motor vehicles,2-4year,overturning,defect in condition of motor vehicle,10-14years,9-10std,passed on hill,<30,straight road,4 Lanes or more with central divider,manned rail crossing,uncontolled,regular licence,female,Teen Hath Naka
Kopri,near office complex,12am-3am,cloudy,3 wheeler,>10,overturning,neglect of civic bodies,<5years,not known,on wrong side of the road,<30,Kutcha Roads,two lane,unmanned rail crossing,stop sign,others,female,Kopri
Teen Hath Naka,near school/college,3am-6am,light rain,other motor vehicles,8-10year,hit and run,neglect of civic bodies,18-20years,9-10std,passed on curve,>70,rutted/pot holes,single lane,round about junction,traffic light signal,without licence,male,Teen Hath Naka
Kolshet Road,near a religious place,12pm-3pm,light rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,collision brush/side swip,defect in condition of motor vehicle,18-20years,not known,passed on curve,>70,incline road,two lane,unmanned rail crossing,flashing signal/blinker,others,female,Kolshet Road
Ghodbander,near petrol pump,6pm-9pm,cloudy,3 wheeler,4-6year,collision brush/side swip,fault of driver,6-9years,not known,did not give right of way to pedestrian,>70,Kutcha Roads,4 Lanes or more with central divider,staggered jucntion,flashing signal/blinker,paid driver,male,Ghodbander
Teen Hath Naka,open area,3am-6am,fine,"trucks ,tempos,tracto",4-6year,hit and run,poor light,15-17years,above 10th std,give improper signal,<30,straight road,4 Lanes or more with central divider,t junction,traffic light signal,regular licence,male,Teen Hath Naka
Teen Hath Naka,near bus stop,12am-3am,fine,other motor vehicles,8-10year,skiding,poor light,65 and above,upto 8th std,alcohol intake,50-70,road under construction/repair,two lane,round about junction,stop sign,paid driver,female,Teen Hath Naka
Eastern Express Highway,at pedestrian crossing,3am-6am,cloudy,"trucks ,tempos,tracto",6-8year,head on collision,defect in road condition,unknown age,not known,followed too closely,30-50,Surfaced Roads,two lane,junction with >4 arms,traffic light signal,regular licence,male,Eastern Express Highway
Kopri,near a recreation place/cinema,12am-3am,fine,"trucks ,tempos,tracto",6-8year,skiding,neglect of civic bodies,15-17years,9-10std,did not give right of way to vehicle,50-70,Wet road,two lane,unmanned rail crossing,police controlled,owner of private vehicle,female,Kopri
Teen Hath Naka,near a religious place,12am-3am,fine,2 wheeler,>10,right turn collision,weather condition,25-34years,above 10th std,on wrong side of the road,50-70,Kutcha Roads,3 Lanes or more without central Divider Median,v junction,traffic light signal,learners licence,female,Teen Hath Naka
Eastern Express Highway,open area,12pm-3pm,light rain,"trucks ,tempos,tracto",6-8year,skiding,neglect of civic bodies,15-17years,not known,did not give right of way to pedestrian,<30,road under construction/repair,4 Lanes or more with central divider,staggered jucntion,flashing signal/blinker,without licence,female,Eastern Express Highway
Ghodbander,at pedestrian crossing,12pm-3pm,fine,2 wheeler,1-2year,collision brush/side swip,defect in road condition,18-20years,not known,did not give right of way to pedestrian,<30,incline road,4 Lanes or more with central divider,t junction,flashing signal/blinker,others,female,Ghodbander
Kopri,near office complex,3pm-6pm,cloudy,other motor vehicles,>10,skiding,fault of pedestrian,21-24years,upto 8th std,did not give right of way to pedestrian,30-50,Kutcha Roads,two lane,staggered jucntion,stop sign,without licence,male,Kopri
Vasant Vihar,narrow bridge or culverts,3pm-6pm,light rain,"car/jeep/taxi,buses(4 wheeler)",1-2year,overturning,poor light,35-44years,above 10th std,failed to give signal,30-50,road under construction/repair,single lane,round about junction,stop sign,learners licence,male,Vasant Vihar
Kolshet Road,near bus stop,12pm-3pm,fine,"trucks ,tempos,tracto",8-10year,right turn collision,fault of driver,35-44years,9-10std,give improper signal,50-70,incline road,3 Lanes or more without central Divider Median,junction with >4 arms,uncontolled,paid driver,female,Kolshet Road
Teen Hath Naka,near petrol pump,6am-9am,heavy rain,"trucks ,tempos,tracto",1-2year,rear end collision,defect in condition of motor vehicle,55-64years,9-10std,other improper passsing,50-70,incline road,two lane,junction with >4 arms,police controlled,regular licence,female,Teen Hath Naka
Ghodbander,near petrol pump,3am-6am,light rain,"trucks ,tempos,tracto",>10,right turn collision,poor light,65 and above,9-10std,alcohol intake,<30,incline road,4 Lanes or more with central divider,staggered jucntion,uncontolled,without licence,female,Ghodbander
Teen Hath Naka,near a recreation place/cinema,12pm-3pm,heavy rain,"trucks ,tempos,tracto",1-2year,right turn collision,defect in condition of motor vehicle,unknown age,above 10th std,followed too closely,<30,muddy/oily/slippery,two lane,t junction,police controlled,without licence,male,Teen Hath Naka
Kopri,near a factory or indu. Area,12pm-3pm,light rain,3 wheeler,<1,right turn collision,defect in road condition,<5years,upto 8th std,other improper passsing,50-70,Wet road,two lane,four arm junction,flashing signal/blinker,learners licence,female,Kopri
Vasant Vihar,near a religious place,9am-12pm,fine,"car/jeep/taxi,buses(4 wheeler)",8-10year,collision brush/side swip,defect in road condition,35-44years,above 10th std,cut in sharply after passing,>70,straight road,single lane,staggered jucntion,flashing signal/blinker,learners licence,female,Vasant Vihar
Eastern Express Highway,near a religious place,6am-9am,light rain,2 wheeler,1-2year,rear end collision,defect in condition of motor vehicle,<5years,above 10th std,failed to give signal,>70,Surfaced Roads,4 Lanes or more with central divider,round about junction,police controlled,owner of private vehicle,male,Eastern Express Highway
Kopri,narrow bridge or culverts,12pm-3pm,light rain,2 wheeler,6-8year,hit and run,weather condition,<5years,above 10th std,followed too closely,>70,Wet road,single lane,t junction,traffic light signal,others,male,Kopri
Kolshet Road,open area,6pm-9pm,light rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,skiding,neglect of civic bodies,65 and above,9-10std,passed on curve,30-50,speed breaker,3 Lanes or more without central Divider Median,t junction,flashing signal/blinker,owner of private vehicle,female,Kolshet Road
Kolshet Road,near or inside a village,3pm-6pm,cloudy,other motor vehicles,8-10year,head on collision,fault of pedestrian,6-9years,above 10th std,give improper signal,>70,muddy/oily/slippery,3 Lanes or more without central Divider Median,v junction,uncontolled,without licence,female,Kolshet Road
